_id,SL No.,Platform,Bus Route,Starting From,Destination,VIA
197,197,19,129,Kempegowda Bus Stand,SHIVAJINAGAR,"VIDHANA SOUDHA, INDIAN EXPRESS"
198,198,19,290,Kempegowda Bus Stand,NAGAVARA,"VIDHAN SOUDHA, COLES PARK"
199,199,19,290-B,Kempegowda Bus Stand,NAGAVARA,"INDIAN EXPRESS, CANTONMENT"
200,200,19,290-T,Kempegowda Bus Stand,HBR LAYOUT 1ST STAGE,"INDIAN EXPRESS, KACHAKANAHALLI"
201,201,19,290-J,Kempegowda Bus Stand,MESTRI PALYA,"INDIAN EXPRESS, NAGAVARA"
202,202,19,291-H,Kempegowda Bus Stand,RK HEGDE NAGAR,"VIDHANA SOUDHA, MUSLIM COLONY"
203,203,19,291-M,Kempegowda Bus Stand,GOVINDAPURA,"INDIAN EXPRESS, COLES PARK"
204,204,19,302-F,Kempegowda Bus Stand,BABASAB PALYA,"COLES PARK, SUBBAIAHNA PALYA"
205,205,19,302-B,Kempegowda Bus Stand,JALAVAYU VIHARA,"ITC FACTORY, KAMMANAHALLI"
206,206,19,302-K,Kempegowda Bus Stand,LINGARAJAPURA KHB COLONY,"KR CIRCLE, MARUTHISEVANAGAR"
207,207,19,302-N,Kempegowda Bus Stand,KALYANANAGAR,"VASANTHANAGAR, COLES PARK"
208,208,19,302-A,Kempegowda Bus Stand,BABASAB PALYA,"KR CIRCLE, ITC FACTORY"
209,209,19-A,292-A,Kempegowda Bus Stand,K NARAYANAPURA,"SHIVANANDA STORE, HEBBALA"
210,210,19-A,292-B,Kempegowda Bus Stand,NAGARESH NAGENAHALLI,"CONTONMENT, LINGARAJAPURA"
211,211,19-A,292-C,Kempegowda Bus Stand,K NARAYANAPURA,"INDIAN EXPRESS, ITC"
212,212,19-A,293-N,Kempegowda Bus Stand,GEDDALAHALLI,"INDIAN EXPRESS, COLES PARK"
213,213,19-A,293-H,Kempegowda Bus Stand,DASANAYAKANAHALLI,"INDIAN EXPRESS, BAGALURU"
214,214,19-A,294-E,Kempegowda Bus Stand,BILISHIVALAYA,"INDIAN EXPRESS, KACHAKANAHALLI"
215,215,19-A,295-A,Kempegowda Bus Stand,DODDAGUBBI,"CONTONMENT, HENNUR CROSS"
216,216,19-A,295-B,Kempegowda Bus Stand,ANGALIPURA,"INDIAN EXPRESS, GEDDALAHALLI"
217,217,19-A,296-A,Kempegowda Bus Stand,YARABNAHALLI,"PULKESHINAGAR, CHIKKAGUBBI CROSS"
218,218,19-B,296-B,Kempegowda Bus Stand,HBR LAYOUT 5TH STAGE,"COLES PARK, HBR LAYOUT, K.P.T.C.L. OFFICE"
219,219,19-B,296-C,Kempegowda Bus Stand,KALYANANAGAR,"COLES PARK, LINGARAJAPURA"
220,220,19-B,296-N,Kempegowda Bus Stand,KADA AGRHARA,"VASANTHANAGAR, CLARENCE SCHOOL"
221,221,19-B,296-T,Kempegowda Bus Stand,HBR LAYOUT 1ST STAGE,"CLARENCE SCHOL, KACHARAKANAHALLI"
222,222,19-B,296-V,Kempegowda Bus Stand,"HBR, BDA COMPLEX","CONTONMENT, LINGARAJAPURA"
223,223,19-B,300-B,Kempegowda Bus Stand,BANASWADI,"MARUTHI, SEVANAGAR"
224,224,19-B,300-C,Kempegowda Bus Stand,K.R. PURAM,"COLES PARK, BANASWADI"
225,225,19-B,415-H,Kempegowda Bus Stand,AMARAJYOTHI LAYOUT,"HEBBALA, NAGAWARA"
226,226,19-C,56,Kempegowda Bus Stand,JAGAJEEVANRAM NAGAR,"KR MARKET, SIRASI CIRCLE"
227,227,19-C,57-A,Kempegowda Bus Stand,BAPUJINAGAR,"CORPORATION, SIRASI CIRCLE"
228,228,19-C,58,Kempegowda Bus Stand,TIMBER YARD LAYOUT,"CORPORATION, NEW GUDDADAHALLI"
229,229,19-C,58-C,Kempegowda Bus Stand,TELECOM LAYOUT,"KR MARKET, BAPUJINAGAR"
230,230,19-C,59-D,Kempegowda Bus Stand,NAYANDAHALLI RAILWAY GATE,"KR MARKET, ATTIGUPPE"
231,231,19-C,218-A,Kempegowda Bus Stand,KAMBIPURA,"M.C.T.C. BUS STATION, KENGERI"
232,232,19-C,221-A,Kempegowda Bus Stand,TAVAREKERE,"NAYANDAHALLI, KOMMAGHATTA"
233,233,19-D,222-C,Kempegowda Bus Stand,NAGADEVANAHALLI,"BAPUJINAGAR, NAYANDAHALLI, KENGERI"
234,234,19-D,225-CB,Kempegowda Bus Stand,B.H.E.L. LAYOUT,"COTTONPETE, R.R. TEMPLE, B.H.E.L. LAYOUT CROSS"
235,235,19-D,225-G,Kempegowda Bus Stand,BANGARAPPANAGAR,"KR MARKET, BPUJINAGAR, DEVADIGA SOUDHA"
236,236,19-D,225-H,Kempegowda Bus Stand,SHAKTI HILLS RESORTS,"COTTONPETE, NAYANDAHALLI, DEVADIGA SOUDHA"
237,237,19-D,405,Kempegowda Bus Stand,KEMPEGOWDA BUS STATION,"COTTONPETE, R.V. COLLEGE, MALLATHAHALLI, KAMAKSHIPALYA"
238,238,20-A,250-S,Kempegowda Bus Stand,GELEYARA BALAGA,"YESHWANTHPUR, DASARAHALLI"
239,239,20-A,250-Y,Kempegowda Bus Stand,KUDARAGERE COLONY,"YESHWANTHPUR, SEEDEDAHALLI"
240,240,20-A,250-SA,Kempegowda Bus Stand,KUDARAGERE,"R.M.C. YARD, THOTADAGUDDAHALLI"
241,241,20-A,250-CB,Kempegowda Bus Stand,MALLASANDRA,"R.M.C. YARD, BAGALAGUNTE CROSS"
242,242,20-A,251-B,Kempegowda Bus Stand,RAJANUKUNTE,"YESHWANTHPUR, HESARAGHATTA CROSS"
243,243,20-A,252,Kempegowda Bus Stand,PEENYA 2ND STAGE,"YESHWANTHPUR, JALAHALLI CROSS"
244,244,20-A,252-C,Kempegowda Bus Stand,MACHOHALLI,"YESHWANTHPUR, SUNKADAKATTE"
245,245,20-A,252-D,Kempegowda Bus Stand,RAJNI FORUM,"YESHWANTHPUR, JALAHALLI CROSS"
246,246,20-A,252-E,Kempegowda Bus Stand,LAGGERE,"R.M.C. YARD, JALAHALLI CROSS"
247,247,20-C,258-T,Kempegowda Bus Stand,KANNAMANGALA,"DASARAHALLI, NELAMANGALA"
248,248,20-C,258-VA,Kempegowda Bus Stand,BYRASANDRA,"JALAHALLI CROSS, NELAMANGALA"
249,249,20-C,258-VB,Kempegowda Bus Stand,CHIKKAMARANAHALLI,"YESHWANTHPUR, NELAMANGALA"
250,250,20-C,258-VD,Kempegowda Bus Stand,BETTASANDRA,"JALAHALLI CROSS, NELAMANGALA"
251,251,20-C,258-WA,Kempegowda Bus Stand,JODIRAGITHIMMASANDRA,"YESHWANTHPUR, NELAMANGALA"
252,252,20-C,261,Kempegowda Bus Stand,PEENYA 2ND STAGE,MALLESHWARAM RAILWAY STATION
253,253,20-C,263-D,Kempegowda Bus Stand,K.R.S. GOWDA LAYOUT,"YESHWANTHPUR, DASARAHALLI"
254,254,20-C,263-F,Kempegowda Bus Stand,BYADARAHALLI,"MALLESHWARAM, NELAGEDARANAHALLI"
255,255,20-C,263-G,Kempegowda Bus Stand,GANGONDANAHALLI,"YESHWANTHPUR, NELAGEDARANAHALLI"
256,256,21,82,Kempegowda Bus Stand,KEMPEGOWDA BUS STAND,"HARISHCHANDRAGHAT, YESHWANTHPUR"
257,257,21,82-A,Kempegowda Bus Stand,YESHWANTHPUR RAILWAY STATION,"MALLESHWARAM, YESHWANTHPUR"
258,258,21,82-C,Kempegowda Bus Stand,YESHWANTHPUR RAILWAY STATION,"CENTRAL, YESHWANTHPUR"
259,259,21,90-E,Kempegowda Bus Stand,YESHWANTHPUR RAILWAY STATION,"CENTRAL, YESHWANTHPUR"
260,260,21,98-B,Kempegowda Bus Stand,RMV 2ND STAGE,"MALLESHWARAM, DEVASANDRA"
261,261,21,98-E,Kempegowda Bus Stand,LAKSHMIDEVI NAGAR,"YESHWANTHPUR, KANTIRAVANAGAR"
262,262,21,98-F,Kempegowda Bus Stand,VIDHANASOUDHA LAYOUT,"MALLESHWARAM 8TH CROSS, GORGUNTEPALYA"
263,263,21,98-G,Kempegowda Bus Stand,LOTTEGOLLAHALLI,"MALLESHWARAM, DEVASANDRA"
264,264,21,99-B,Kempegowda Bus Stand,CHOWDESHWARI BUS STAND,"MALLESHWARAM, MATTHIKERE"
265,265,22,266-H,Kempegowda Bus Stand,MARASANDRA CIRCLE,"MATTHIKERE, MS PALYA, DIBBUR"
266,266,22,269,Kempegowda Bus Stand,RAMACHANDRAPURA,"MALLESHWARAM, BEL CIRCLE"
267,267,22,269-B,Kempegowda Bus Stand,VIDYARANYAPURA,"MATTHIKERE, BALIGA CIRCLE"
268,268,22,271,Kempegowda Bus Stand,JALAHALLI EAST AREA CAMP,"BEL CIRCLE, JALAHALLI EAST"
269,269,22,271-A,Kempegowda Bus Stand,ABBIGERE,"MATTHIKERE, GANGAMMA CIRCLE"
270,270,22,271-B,Kempegowda Bus Stand,KUVEMPUNAGAR 2ND STAGE,MATTHIKERE
271,271,22,271-C,Kempegowda Bus Stand,SINGAPURA,"BEL MARKET, KUVEMPUNAGAR"
272,272,22,271-D,Kempegowda Bus Stand,JALAHALLI VILLAGE,"MALLESHWARAM, MUTHYALANAGAR"
273,273,22,271-E,Kempegowda Bus Stand,VEERASAGARA,"MALLESHWARAM, MS PALYA"
274,274,22-B,276,Kempegowda Bus Stand,VIDYARANYAPURA,"MALLESHWARAM, DEVASANDRA"
275,275,22-B,276-C,Kempegowda Bus Stand,LOTTEGOLLAHALLI,"MALLESHWARAM, DEVASANDRA"
276,276,22-B,276-J,Kempegowda Bus Stand,YELAHANKA,"MATHIKERE, ATTUR LAYOUT"
277,277,23,279-C,Kempegowda Bus Stand,TATANAGAR,"MEKHRI CIRCLE, NAGASHETTIHALLI"
278,278,23,279-E,Kempegowda Bus Stand,BHOOPASANDRA,"RAJMAHAL GUTTAHALLI, GEDDALAHALLI"
279,279,23,279-K,Kempegowda Bus Stand,PATELAPPA LAYOUT,"MEKHRI CIRCLE, ASHWATHNAGAR"
280,280,23,281-F,Kempegowda Bus Stand,KANNAMANGALA GATE,"MEKHRI CIRCLE, HUNASAMARANAHALLI"
281,281,23,282-F,Kempegowda Bus Stand,MARANAYAKANAHALLI,"HEBBAL, BETTAHALASURU CROSS"
282,282,23,282-G,Kempegowda Bus Stand,KODAGALAHATTI,"MEKHRI CIRCLE, YELAHANKA"
283,283,23,284,Kempegowda Bus Stand,YELAHANKA,"MEKHRI CIRCLE, BYATARAYANAPURA"
284,284,23,284-C,Kempegowda Bus Stand,NYAYANGA BADAVANE,"RAJMAHAL GUTTAHALLI, ALLALASANDRA"
285,285,23,415-H,Kempegowda Bus Stand,AMARJYOTHI LAYOUT,"HEBBALA, NAGAVARA"
286,286,23-A,284-D,Kempegowda Bus Stand,YELAHANKA NEW TOWN,"RAJMAHAL GUTTAHALLI, BYATARAYANAPURA"
287,287,23-A,285-M,Kempegowda Bus Stand,DODDABALLAPURA,"BYATARAYANAPURA, RAJANUKUNTE"
288,288,23-A,286-F,Kempegowda Bus Stand,K NARAYANAPURA,"HEBBALA, BYATARAYANAPURA"
289,289,23-A,286-G,Kempegowda Bus Stand,JAKKUR,"MEKHRI CIRCLE, BYATARAYANAPURA"
290,290,23-A,287-G,Kempegowda Bus Stand,COFFEE BOARD LAYOUT,"MEKHRI CIRCLE, MILITARY DAIRY FORUM"
291,291,23-A,287-J,Kempegowda Bus Stand,CHAMUNDESHWARINAGAR,"RAJMAHAL GUTTAHALLI, HEBBAL"
292,292,23-A,288-D,Kempegowda Bus Stand,KODIGEHALLI,"MEKHRI CIRCLE, HEBBAL"
293,293,23-A,288-G,Kempegowda Bus Stand,KODIGEHALLI CANARA BANK COLONY,"MEKHRI CIRCLE, HEBBAL"
294,294,23-B,288-H,Kempegowda Bus Stand,THINDLU,"MEKHRI CIRCLE, SANJEEVINI NAGAR"
295,295,23-B,289-M,Kempegowda Bus Stand,BEGUR,"MEKHRI CIRCLE, YELAHANKA"
296,296,23-B,297-G,Kempegowda Bus Stand,NERAGANAHALLI,"HEBBALA, SADAHALLI"
297,297,23-B,298-G,Kempegowda Bus Stand,ERATAGANAHALLI,"HEBBAL, CHIKKAJALA"
298,298,23-B,298-M,Kempegowda Bus Stand,DEVANAHALLI,"YELAHANKA, CHIKKAJALA"
299,299,23-B,298-MA,Kempegowda Bus Stand,BOMMAVARA,"HEBBAL, KANNAMANGALA GATE"
300,300,23-B,402-B,Kempegowda Bus Stand,YELAHANKA NEW TOWN 5TH STAGE,"HEBBAL, YELAHANKA NEW TOWN"
301,301,23-C,297-J,Kempegowda Bus Stand,NERAGANAHALLI,"HEBBALA, SADAHALLI"
302,302,23-C,298-G,Kempegowda Bus Stand,ERATAGANAHALLI,"HEBBALA, CHIKKAJALA"
303,303,23-C,298-M,Kempegowda Bus Stand,DEVANAHALLI,"YELAHANKA, CHIKKAJALA"
304,304,23-C,298-MA,Kempegowda Bus Stand,BOMMAVARA,"HEBBAL, KANNAMANGALA GATE"
305,305,23-C,402-B,Kempegowda Bus Stand,YELAHANKA NEW TOWN 5TH STAGE,"HEBBAL, YELAHANKA NEW TOWN"
306,306,24,108-B,Kempegowda Bus Stand,GANGANAGAR,"VASANTHANAGAR, MUNIREDDYPALYA"
307,307,24,111-C,Kempegowda Bus Stand,KAVALBYRASANDRA,"VASANTHANAGAR, MUNIREDDYPALYA"
308,308,24,114-C,Kempegowda Bus Stand,SULTHANAPALYA,"VASANTHANAGAR, MUNIREDDYPALYA"
309,309,24,415-A,Kempegowda Bus Stand,SHYAMPUR,"VASANTHANAGAR, HMT LAYOUT"
310,310,24,415-B,Kempegowda Bus Stand,VISHWANATHA NAGENAHALLI,"VASANTHANAGAR, HMT LAYOUT"
311,311,25,104,Kempegowda Bus Stand,SADASHIVANAGAR,"CENTRAL, MALLESHWARAM"
312,312,25-A,145,Kempegowda Bus Stand,NEELASANDRA,"CORPORATION, NANJAPPA CIRCLE, AUSTIN TOWN"
313,313,25-A,145-A,Kempegowda Bus Stand,NEELASANDRA ROSE GARDEN,"CORPORATION, NANJAPPA CIRCLE, AUSTIN TOWN, NEELASANDRA"
314,314,25-A,146,Kempegowda Bus Stand,VIVEK NAGAR,"CORPORATION, NANJAPPA CIRCLE, AUSTIN TOWN"
315,315,25-A,146-B,Kempegowda Bus Stand,SRINIVAGILU,"CORPORATION, NANJAPPA CIRCLE, AUSTIN TOWN, EJIPURA"
316,316,25-A,146-E,Kempegowda Bus Stand,EJIPURA,"CORPORATION, NANJAPPA CIRCLE, AUSTIN TOWN, VIVEK NAGAR"
317,317,25-B,340-A,Kempegowda Bus Stand,H.S.R. LAYOUT (CAMBRIDGE SCHOOL),"MAHARANI COLLEGE, DIARY CIRCLE, AGARA, PARANGIPALYA"
318,318,25-B,340-M,Kempegowda Bus Stand,H.S.R. 2ND SECTOR (CAMBRIDGE SCHOOL),"MAHARANI COLLEGE, WILSON GARDEN, JAKKASANDRA, PARANGIPALYA"
319,319,25-B,340-L,Kempegowda Bus Stand,HOSUR MAIN ROAD,"CORPORATION, BELLANDUR MAIN ROAD, CENTRAL JAIL"
320,320,25-B,340-H,Kempegowda Bus Stand,KORAMANGALA,"CORPORATION, DIARY CIRCLE"
321,321,25-B,340-G,Kempegowda Bus Stand,BDA COMPLEX,"ADUGODI, JAKKASANDRA, H.S.R. LAYOUT 2ND SECTOR"
322,322,25-B,340-F,Kempegowda Bus Stand,PARANGIPALYA,"WILSON GARDEN, ADUGODI"
323,323,25-B,341-D,Kempegowda Bus Stand,BELANDURU,"CORPORATION, DIARY CIRCLE, AGADA"
324,324,25-B,341-E,Kempegowda Bus Stand,HARALUR,"CORPORATION, JAKKASANDRA, HARALUR CROSS"
325,325,25-B,342-F,Kempegowda Bus Stand,SARJAPUR,"CORPORATION, JAKKASANDRA, DODDAKANNELLI, AMERE"
326,326,26,KBS-3A,Kempegowda Bus Stand,ATTIBELE,"MADIWALA, BOMMANAHALLI, SINGASANDRA, HEBBAGODI, CHANDAPURA"
327,327,26,KBS-3C,Kempegowda Bus Stand,CHANDAPURA,"MADIWALA, BOMMANAHALLI, SINGASANDRA, HEBBAGODI, NARAYANA HRUDAYALAYA"
328,328,26,KBS-3E,Kempegowda Bus Stand,ELECTRONIC CITY WIPRO GATE,"MADIWALA, BOMMANAHALLI, KONAPPANA AGRAHARA"
329,329,26,342-F,Kempegowda Bus Stand,SARJAPURA,"CORPORATION, SHANTHI NAGAR, KORAMANGALA 1ST BLOCK, BELLANDUR GATE"
330,330,26,343-A,Kempegowda Bus Stand,HULLAHALLI,"MADIWALA, BOMMANAHALLI, HONGSANDRA, BETTADASANAPURA CROSS"
331,331,26,343-B,Kempegowda Bus Stand,KODICHIKKANAHALLI,LALBAGH
332,332,26,343-L,Kempegowda Bus Stand,HONGASANDRA MICO LAYOUT,"MADIWALA, BOMMANAHALLI, HONGASANDRA"
333,333,26,343-K,Kempegowda Bus Stand,VISHWAPRIYA LAYOUT,"MADIWALA, BOMMANAHALLI, HONGASANDRA"
334,334,26,344-B,Kempegowda Bus Stand,BETTADASANAPURA,"MADIWALA, BOMMANAHALLI, BEGURU"
335,335,26-A,346-C,Kempegowda Bus Stand,RAYASANDRA,"BANGLORE DAIRY, MADIWALA, KUDLE GATE, HOSA ROAD"
336,336,26-A,346-H,Kempegowda Bus Stand,PARAPPANA AGRAHARA,"BANGLORE DAIRY, MADIWALA, KUDLE GATE, HOSA ROAD"
337,337,26-A,346-CK,Kempegowda Bus Stand,KARNATAKA SLUM BOARD,"MADIWALA, HOSA ROAD, CENTRAL JAIL"
338,338,26-A,347-H,Kempegowda Bus Stand,BASAPURA,"MADIWALA, SINGASANDRA, HOSA ROAD"
339,339,26-A,346-N,Kempegowda Bus Stand,DODDATHOGURU MUNESHWARA TEMPLE,"MADIWALA, SINGASANDRA, KONAPPANA AGRAHARA"
340,340,26-A,346-V,Kempegowda Bus Stand,DODDANAGAMANGALA,"MADIWALA, BOMMANAHALLI, SINGASANDRA"
341,341,26-A,347-B,Kempegowda Bus Stand,KUDLU,"MADIWALA, BOMMANAHALLI"
342,342,26-A,347-C,Kempegowda Bus Stand,CHIKKA BEGUR,"MADIWALA, BOMMANAHALLI, HOSA ROAD"
343,343,26-A,347-HD,Kempegowda Bus Stand,DEVENDRA NAGAR (CHIKKATHOGURU),"MADIWALA, BOMMANAHALLI, HOSA ROAD, CHIKKATHOGURU"
344,344,26-A,347-E,Kempegowda Bus Stand,SOMASUNDARAPALYA,"MADIWALA, BOMMANAHALLI, KUDLUGATE"
345,345,26-A,347-L,Kempegowda Bus Stand,HOSAPALYA,"MADIWALA, BOMMANAHALLI, KUDLUGATE, SOMASUNDARAPALYA"
346,346,26-A,348,Kempegowda Bus Stand,MANGAMMANA PALYA,"MADIWALA, SI APARTMENT"
347,347,26-B,351-A,Kempegowda Bus Stand,NARAYANAGHATTA,"MADIWALA, HEBBAGODI, CHANDAPURA, RAMASANDRA"
348,348,26-B,351-J,Kempegowda Bus Stand,HANDENAHALLI,"MADIWALA, HEBBAGODI, CHANDAPURA, RAMASANDRA, MUTTA NELLORU"
349,349,26-B,352-A,Kempegowda Bus Stand,HENNAGARA,"MADIWALA, HEBBAGODI, KITHAGANUR"
350,350,26-B,352-B,Kempegowda Bus Stand,MASTENAHALLI,"MADIWALA, HEBBAGODI, HENNAGARA"
351,351,26-B,353-C,Kempegowda Bus Stand,JIGANI,"MADIWALA, HEBBAGODI, HINMAKKI, SHITANAYAKANAHALLI, MADAPATTANA"
352,352,26-B,354-B,Kempegowda Bus Stand,SHETTIHALLI,"LALBAGH, MADIWALA, HEBBAGODI, CHANDAPURA, HIGGALURU"
353,353,26-B,354-C,Kempegowda Bus Stand,MARASUR,"MADIWALA, HEBBAGODI, CHANDAPURA, HIGGALURU"
354,354,26-B,355-A,Kempegowda Bus Stand,SRIRAMPURA,"MADIWALA, HEBBAGODI, ARMADALLI"
355,355,26-B,355-E,Kempegowda Bus Stand,BANDENALLASANDRA,"MADIWALA, HEBBAGODI, BIOCON FACTORY, KYALASANAHALLI"
356,356,26-C,356-A,Kempegowda Bus Stand,THATTNAHALLI,"MADIWALA, HEBBAGODI, CHANDAPURA, HIGGALURU"
357,357,26-C,356-D,Kempegowda Bus Stand,SAMPIGENAGAR,"MADIWALA, KUDLUGATE, HUSKUR GATE"
358,358,26-C,356-H,Kempegowda Bus Stand,SURYANAGAR (CHANDAPUR),"MADIWALA, HEBBAGODI, CHANDAPURA"
359,359,26-C,356-M,Kempegowda Bus Stand,ANEKAL,"MADIWALA, HEBBAGODI, CHANDAPURA, JGGALURU, TARAPUR GATE"
360,360,26-C,356-CB,Kempegowda Bus Stand,ELECTRONIC CITY 2ND STAGE,"MADIWALA, KONAPPANA AGRAHARA"
361,361,26-C,358-A,Kempegowda Bus Stand,SAMANDURU,"MADIWALA, HEBBAGODI, CHANDAPURA, GUTTADAHATTI CROSS, KAMBLIPURA TEMPLE"
362,362,26-C,360-B,Kempegowda Bus Stand,ATTIBELE,"MADIWALA, HEBBAGODI, CHANDAPURA"
363,363,26-C,360-J,Kempegowda Bus Stand,ATTIBELE,"LALBAGH, MADIWALA, HEBBAGODI, CHANDAPURA"
364,364,27,365,Kempegowda Bus Stand,BANNERGHATTA NATIONAL PARK,"BANGALORE DAIRY, GOTTIGERE, KALKERE"
365,365,27,365-C,Kempegowda Bus Stand,KOPPA,"BANGALORE DAIRY, BILEKANAHALLI, BASAVANAPURA, KOPPA GATE"
366,366,27,365-D,Kempegowda Bus Stand,BILVARADAHALLI,"BANGALORE DAIRY, GOTTIGERE, BASAVANAPURA"
367,367,27,365-E,Kempegowda Bus Stand,SHANUBHOGANAHALLI,"BANGALORE DAIRY, GOTTIGERE, BILAVARADAHALLI"
368,368,27,365-F,Kempegowda Bus Stand,NOSENURU,"BANGALORE DIARY, GOTTIGERE, KOPPA GATE, JIGANI, HARAGADDE"
369,369,27,365-J,Kempegowda Bus Stand,JIGANI,"BANGALORE DIARY, GOTTIGERE, BANNERGHATTA CIRCLE, KOPPA GATE"
370,370,27,365-N,Kempegowda Bus Stand,GEDDENAHALLI,"BANGALORE DIARY, GOTTIGERE, JIGANI, GOWDANAHALLI"
371,371,27,365-P,Kempegowda Bus Stand,ANEKAL,"BANGALORE DIARY, GOTTIGERE, BANNERGHATTA CIRCLE, HARAGADDE"
372,372,27-A,369-C,Kempegowda Bus Stand,HULIMAVU,"BANGALORE DIARY, BILEKANAHALLI, HULIMAVU GATE"
373,373,27-A,369-D,Kempegowda Bus Stand,SHANTINIKETAN LAYOUT,"BANGALORE DIARY, BILEKANAHALLI, AREKERE GATE"
374,374,27-A,369-J,Kempegowda Bus Stand,C.K. PALYA,"BANGALORE DIARY, HULIMAVU GATE, CHIKKAMMANAHALLI"
375,375,27-A,365-Q,Kempegowda Bus Stand,DYAVASANDRA,"BANGALORE DIARY, HULIMAVU GATE, JIGANI HARAGADDE"
376,376,27-A,365-R,Kempegowda Bus Stand,BASAVANAPURA,"BANGALORE DIARY, HULIMAVU GATE, GOTTIGERE"
377,377,27-A,365-W,Kempegowda Bus Stand,VADERA MANCHENAHALLI,"BANGALORE DIARY, HULIMAVU GATE, KALKERE, JIGANI"
378,378,27-A,367-F,Kempegowda Bus Stand,PILLAGANAHALLI,"BANGALORE DIARY, HULIMAVU GATE, BASAVANAPURA GATE"
379,379,27-A,369-CA,Kempegowda Bus Stand,CHIKKAMMANAHALLI,"BANGALORE DIARY, BILEKANAHALLI, HULIMAVU"
380,380,27-A,369-H,Kempegowda Bus Stand,MICO SHRAMAJEEVI COLONY,"BANGALORE DIARY, BILEKANAHALLI, AREKERE GATE"
381,381,27-A,369-F,Kempegowda Bus Stand,HOMMADEVANAHALLI,"BANGALORE DIARY, BILEKANAHALLI, CHIKKAMMANAHALLI"
382,382,27-A,372-F,Kempegowda Bus Stand,NISARGA BADAVANE,"BANGALORE DIARY, BILEKANAHALLI, KALKERE, KOPPA GATE"
383,383,28,304-R,Kempegowda Bus Stand,B.N. BACHE GOWDA BADAVANE,"CORPORATION,HALASURU, K.R. PURAM RAILWAY STATION, CHANNASANDRA, MEDIMALLASANDRA, NARAYANAKERE"
384,384,28,304-L,Kempegowda Bus Stand,MEDIMALLASANDRA,"CORPORATION, HALASURU, K.R. PURAM RAILWAY STATION, GARUDACHAR PALYA, HOODI, BODANA HOSAHALLI, DUNNASANDRA"
385,385,28,304-X,Kempegowda Bus Stand,AREHALLI,"HALASURU, K.R. PURAM RAILWAY STATION, CHANNASANDRA, DUNNASANDRA"
386,386,28,304-J,Kempegowda Bus Stand,KALKUNTE AGRAHARA,"CORPORATION, HALASURU, GARUDACHAR PALYA, HOPE FARM, DUNNASANDRA"
387,387,28,304-Z,Kempegowda Bus Stand,CHIKKA THIRUPATHI,"GARUDACHAR PALYA, BODANA HOSAHALLI, KALKUNTE AGRAHARA"
388,388,28,305-D,Kempegowda Bus Stand,CHANNASANDRA,"HALASURI, GARUDACHAR PALYA, HOPE FARM"
389,389,28,305-S,Kempegowda Bus Stand,SOURYA HOSPITAL,"HALASURU, GARUDACHAR PALYA, CHANNASANDRA, NADUVATTI"
390,390,28-A,315-J,Kempegowda Bus Stand,RAMPURA,"HALASURU, K.R. PURAM, AVALAHALLI, BIDARAHALLI, ADURU"
391,391,28-A,315-K,Kempegowda Bus Stand,K.R. PURAM,"HALASURU, BENNIGANAHALLI, CHANNASANDRA BRIDGE, RAMURTHY NAGAR"
392,392,28-A,315-L,Kempegowda Bus Stand,RAMAMURTHY NAGAR,"HALASURU, BENNIGANAHALLI BRIDGE, RING ROAD"
393,393,28-A,315-P,Kempegowda Bus Stand,SHANTI LAYOUT,"HALASURU, BENNIGANAHALLI, RAMURTHY NAGAR, KOWDENAHALLI"
394,394,28-A,315-T,Kempegowda Bus Stand,KITHAGANUR,"HALASURU, BENNIGANAHALLI, KOWDENAHALLI, T.C. PALYA"
395,395,28-A,315-V,Kempegowda Bus Stand,KADUGODI BALAJI CIRCLE,"HALASURU, K.R. PURAM, SADARAMANGALA, HOODI"
396,396,28-B,316-B,Kempegowda Bus Stand,BUDIGERE,"HALASURU, K.R. PURA, AVALAHALLI, BUDIGERE CROSS"
397,397,28-B,316-E,Kempegowda Bus Stand,CHEEMASANDRA,"HALASURU, K.R. PURA, AVALAHALLI, CHEEMASANDRA CROSS"
398,398,28-B,316-G,Kempegowda Bus Stand,MANDURU,"HALASURU, K.R. PURA, AVALAHALLI, BUDIGERE CROSS"
399,399,28-B,316-M,Kempegowda Bus Stand,SINGRAHALLI,"HALASURU, K.R. PURA, BUDIGERE CROSS, BUDIGERE"
400,400,28-B,317-A,Kempegowda Bus Stand,HOSAKOTE,"HALASURU, K.R. PURA, BUDIGERE CROSS"
401,401,28-B,317-P,Kempegowda Bus Stand,KANNAMANGALA,"HALASURU, K.R. PURA, BUDIGERE CROSS, KAJI SONNENAHALLI"
402,402,28-B,317-V,Kempegowda Bus Stand,POOJENA AGRAHARA (NADUVATTI),"HALASURU, K.R.PURA, BUDIGERE CROSS, HOSAKOTE, KODIHALLI, BASAVANAHALLI"
403,403,28-B,381,Kempegowda Bus Stand,THIMMASANDRA,"HALASURU, K.R.PURA, BATTARAHALLI, BUDIGERE CROSS, HOSAKOTE"
404,404,28-B,381-E,Kempegowda Bus Stand,KAMBIPURA,"HALASURU, K.R.PURA, BATTARAHALLI, BUDIGERE CROSS, HOSAKOTE"
405,405,28-B,381-A,Kempegowda Bus Stand,POOJENA AGRAHARA,"HALASURU, K.R.PURA, BATTARAHALLI, BUDIGERE CROSS, HOSAKOTE"
